Date,Close
2/21/2019,52.11
2/22/2019,52.48
2/25/2019,52.56
2/26/2019,52.6
2/27/2019,52.38
2/28/2019,52.13
3/1/2019,52.51
3/4/2019,52.04
3/5/2019,52.36
3/6/2019,52.35
3/7/2019,52.58
3/8/2019,52.77
3/11/2019,52.66
3/12/2019,52.8
3/13/2019,53.06
3/14/2019,53.05
3/15/2019,52.94
3/18/2019,53.46
3/19/2019,54.04
3/20/2019,52.64
3/21/2019,54.04
3/22/2019,52.77
3/25/2019,52.74
3/26/2019,53.28
3/27/2019,52.81
3/28/2019,53.19
3/29/2019,53.71
4/1/2019,54.58
4/2/2019,54.15
4/3/2019,54.06
4/4/2019,53.82
4/5/2019,53.93
4/8/2019,53.72
4/9/2019,53.83
4/10/2019,53.97
4/11/2019,53.79
4/12/2019,54.5
4/15/2019,54.63
4/16/2019,54.59
4/17/2019,54.48
4/18/2019,54.52
4/22/2019,54.62
4/23/2019,54.94
